ENTRY_ID,ENTITY_NAME,CREATED_AT,LAST_PLAYED_AT,PLAYS,OWNER,TAGS,CATEGORIES,HAS_AUDIO_DESCRIPTION,CAPTIONS_LANGUAGE,CAPTIONS_LANGUAGE_CODE,CAPTIONS_USAGE_TYPE,CAPTIONS_CREATION_MODE,CAPTIONS_EDITED,CAPTIONS_ACCURACY,CAPTIONS_DISPLAY_ON_PLAYER
1001,Community Center,2022-05-03,2024-07-22,983,housing@authority.gov,programs;mentoring;education,InContext,false,-,-,-,-,-,-,-
1002,Economic Development,2022-02-22,2024-04-07,1626,info@municipal.gov,curriculum;math;science,InContext,false,Spanish,es,EAD,Human,false,91%,true
1003,Water District,2023-04-14,2024-02-05,2763,health@county.gov,programs;mentoring;education,InContext,false,-,-,-,-,-,-,-
1004,University Video Portal,2022-01-08,2024-07-11,852,environment@agency.gov,safety;routes;schedules,InContext,false,French,fr,EAD,Human,false,91%,false
1005,Fleet Management,2022-09-17,2024-05-07,678,center@community.org,training;teachers;professional,InContext,false,-,-,-,-,-,-,-
1006,Public Library Media,2023-05-05,2024-03-09,2881,health@county.gov,courses;programming;certificates,InContext,false,Spanish,es,EAD,Human,true,90%,false
1007,Public Utilities,2023-07-27,2024-03-02,1602,library@public.org,orientation;students;campus,InContext,false,French,fr,EAD,Upload,true,94%,false
1008,Transportation Dept,2022-07-21,2024-03-30,1597,district@schools.edu,programs;mentoring;education,InContext,false,-,-,-,-,-,-,-
1009,Community Outreach,2022-04-18,2024-01-02,759,webmaster@city.gov,events;classes;seniors,InContext,false,Mandarin,zh,EAD,Human,true,99%,true
1010,Water District,2022-01-31,2024-08-31,2998,webmaster@city.gov,wellness;vaccination;covid,InContext,false,Arabic,ar,Standard,Human,false,96%,false
1011,City Government Channel,2022-01-09,2024-02-26,2950,youth@services.org,benefits;healthcare;support,InContext,true,Arabic,ar,Standard,Upload,false,98%,false
1012,Community Center,2022-08-31,2024-07-01,1587,water@district.gov,programs;sports;community,InContext,true,Spanish,es,EAD,Machine,true,97%,true
1013,Volunteer Services,2023-03-20,2024-02-01,2330,health@county.gov,events;classes;seniors,InContext,true,Mandarin,zh,Standard,Upload,false,90%,true
1014,Animal Services,2023-05-07,2024-01-10,2710,archives@state.gov,safety;routes;schedules,InContext,false,English,en,EAD,Human,false,98%,true
1015,Water District,2022-07-10,2024-07-11,506,webmaster@city.gov,tutorial;reading;kids,InContext,false,-,-,-,-,-,-,-
1016,Adult Education Center,2023-03-27,2024-01-06,1257,education@state.gov,wellness;vaccination;covid,InContext,false,Spanish,es,EAD,Machine,false,91%,false
1017,City Government Channel,2022-12-10,2024-02-29,951,library@public.org,council;meeting;public,InContext,false,-,-,-,-,-,-,-
1018,Community Outreach,2022-12-28,2024-09-12,1497,education@state.gov,benefits;healthcare;support,InContext,false,English,en,EAD,Upload,false,92%,false
1019,Grant Administration,2022-09-08,2024-08-31,635,education@state.gov,safety;training;emergency,InContext,false,English,en,Standard,Human,false,100%,true
1020,Public Utilities,2023-01-02,2024-06-19,946,water@district.gov,infrastructure;roads;maintenance,InContext,false,-,-,-,-,-,-,-
1021,Job Training Center,2023-03-23,2024-05-09,645,library@public.org,benefits;healthcare;support,InContext,true,German,de,Standard,Human,true,100%,true
1022,Senior Center,2022-01-13,2024-05-19,2312,water@district.gov,programs;mentoring;education,InContext,false,Mandarin,zh,EAD,Upload,false,94%,true
1023,Community Center,2023-08-10,2024-02-19,340,water@district.gov,orientation;students;campus,InContext,false,English,en,Standard,Human,true,90%,false
1024,Traffic Engineering,2022-12-03,2024-03-04,1178,media@college.edu,infrastructure;roads;maintenance,InContext,true,Spanish,es,Standard,Upload,true,97%,false
1025,Community College,2023-08-04,2024-04-17,1285,library@public.org,history;documents;preservation,InContext,false,-,-,-,-,-,-,-
1026,Stormwater Management,2022-11-13,2024-02-18,1085,webmaster@city.gov,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
1027,Business Licensing,2023-05-15,2024-08-05,2322,environment@agency.gov,infrastructure;roads;maintenance,InContext,false,French,fr,EAD,Upload,true,94%,true
1028,Disability Services,2022-09-09,2024-07-23,1314,education@state.gov,applications;assistance;programs,InContext,false,Arabic,ar,Standard,Human,false,97%,false
1029,University Video Portal,2023-09-23,2024-10-21,822,fire@city.gov,services;permits;applications,InContext,false,-,-,-,-,-,-,-
1030,Historic Preservation,2022-08-10,2024-08-13,62,transit@regional.gov,lecture;biology;intro,InContext,true,Arabic,ar,EAD,Human,true,95%,false
1031,Public Information,2022-01-27,2024-10-17,395,environment@agency.gov,conservation;recycling;climate,InContext,true,Spanish,es,EAD,Machine,false,96%,true
1032,Regional Transit Auth,2023-04-01,2024-09-29,2505,admin@university.edu,safety;training;emergency,InContext,true,Mandarin,zh,Standard,Upload,true,93%,false
1033,Job Training Center,2022-10-03,2024-03-10,1534,transit@regional.gov,benefits;healthcare;support,InContext,true,Spanish,es,EAD,Machine,false,99%,true
1034,Disability Services,2023-02-05,2024-05-17,1471,health@county.gov,conservation;recycling;climate,InContext,false,Arabic,ar,EAD,Human,false,93%,false
1035,Business Licensing,2022-12-15,2024-01-13,1206,library@public.org,safety;training;emergency,InContext,false,Arabic,ar,Standard,Machine,false,96%,true
1036,Building Dept,2023-09-06,2024-05-02,865,housing@authority.gov,conservation;recycling;climate,InContext,false,German,de,Standard,Upload,true,90%,true
1037,Tech College Online,2022-08-18,2024-05-29,1571,online@techcollege.edu,conservation;billing;services,InContext,true,Spanish,es,EAD,Human,true,95%,true
1038,Youth Services,2023-07-11,2024-08-19,1969,transit@regional.gov,curriculum;math;science,InContext,true,Spanish,es,EAD,Machine,true,97%,true
1039,Animal Services,2023-02-10,2024-02-01,1345,transit@regional.gov,training;teachers;professional,InContext,false,-,-,-,-,-,-,-
1040,Animal Services,2022-01-05,2024-01-22,2609,education@state.gov,history;documents;preservation,InContext,true,French,fr,Standard,Machine,true,96%,false
1041,Transportation Dept,2023-07-14,2024-02-24,70,center@community.org,programs;sports;community,InContext,false,-,-,-,-,-,-,-
1042,Fleet Management,2022-12-28,2024-06-05,575,water@district.gov,conservation;recycling;climate,InContext,true,Spanish,es,Standard,Machine,false,92%,true
1043,Building Dept,2022-02-08,2024-01-20,212,housing@authority.gov,services;permits;applications,InContext,true,German,de,Standard,Human,true,98%,true
1044,Grant Administration,2022-04-16,2024-01-19,2014,district@schools.edu,applications;assistance;programs,InContext,true,Spanish,es,Standard,Upload,true,96%,true
1045,Community Outreach,2022-10-23,2024-08-22,2959,health@county.gov,infrastructure;roads;maintenance,InContext,false,-,-,-,-,-,-,-
1046,Community Center,2022-03-22,2024-09-20,883,district@schools.edu,applications;assistance;programs,InContext,false,English,en,EAD,Upload,false,100%,false
1047,Traffic Engineering,2023-01-26,2024-02-07,317,works@city.gov,applications;assistance;programs,InContext,false,-,-,-,-,-,-,-
1048,Fire Department,2022-07-31,2024-02-03,1630,youth@services.org,conservation;recycling;climate,InContext,false,-,-,-,-,-,-,-
1049,Community Outreach,2023-07-12,2024-03-26,1718,environment@agency.gov,orientation;students;campus,InContext,true,English,en,Standard,Upload,true,93%,false
1050,Volunteer Services,2022-09-19,2024-09-24,2265,youth@services.org,orientation;students;campus,InContext,false,-,-,-,-,-,-,-
1051,Community Center,2022-03-10,2024-09-09,2923,media@college.edu,programs;mentoring;education,InContext,false,-,-,-,-,-,-,-
1052,Historic Preservation,2022-05-17,2024-03-20,1553,education@state.gov,benefits;healthcare;support,InContext,false,-,-,-,-,-,-,-
1053,Public Utilities,2022-06-22,2024-04-23,1130,library@public.org,conservation;billing;services,InContext,true,Spanish,es,EAD,Human,false,99%,false
1054,Public Works Dept,2022-08-02,2024-04-28,2552,admin@university.edu,council;meeting;public,InContext,false,-,-,-,-,-,-,-
1055,Community Outreach,2023-09-16,2024-01-29,1839,online@techcollege.edu,curriculum;math;science,InContext,true,Spanish,es,Standard,Machine,false,97%,true
1056,Community Center,2023-05-02,2024-10-13,1196,fire@city.gov,history;documents;preservation,InContext,false,French,fr,EAD,Upload,false,96%,false
1057,Tech College Online,2022-11-09,2024-05-06,287,online@techcollege.edu,programs;sports;community,InContext,true,Arabic,ar,EAD,Upload,true,97%,false
1058,Historic Preservation,2023-10-13,2024-09-23,1274,environment@agency.gov,programs;sports;community,InContext,true,Mandarin,zh,Standard,Human,false,99%,false
1059,School District Media,2023-02-18,2024-05-21,947,admin@university.edu,curriculum;math;science,InContext,false,-,-,-,-,-,-,-
1060,Water District,2023-06-08,2024-06-20,2727,archives@state.gov,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
1061,Building Dept,2022-02-13,2024-09-18,693,fire@city.gov,safety;routes;schedules,InContext,true,Mandarin,zh,EAD,Machine,true,92%,false
1062,Housing Authority,2022-03-03,2024-08-28,2103,webmaster@city.gov,training;teachers;professional,InContext,false,-,-,-,-,-,-,-
1063,Housing Authority,2023-04-10,2024-08-19,625,fire@city.gov,conservation;billing;services,InContext,true,German,de,EAD,Upload,true,97%,true
1064,State Education Dept,2022-08-20,2024-05-23,2354,info@municipal.gov,safety;training;emergency,InContext,true,English,en,EAD,Human,true,91%,true
1065,Disability Services,2022-01-20,2024-06-27,1362,district@schools.edu,events;classes;seniors,InContext,false,-,-,-,-,-,-,-
1066,Energy Efficiency,2022-07-17,2024-04-11,1841,health@county.gov,council;meeting;public,InContext,false,French,fr,Standard,Human,false,93%,false
